CODGEO;LIBGEO;DCRAN;L_DCRAN;NBFLUX
75101;Paris 1er Arrondissement;75101;Paris 1er Arrondissement;11301,63755
75101;Paris 1er Arrondissement;75102;Paris 2e Arrondissement;119,48362
75101;Paris 1er Arrondissement;75103;Paris 3e Arrondissement;99,245518
75101;Paris 1er Arrondissement;75104;Paris 4e Arrondissement;64,590119
75101;Paris 1er Arrondissement;75105;Paris 5e Arrondissement;105,924194
75101;Paris 1er Arrondissement;75106;Paris 6e Arrondissement;81,271135
75101;Paris 1er Arrondissement;75107;Paris 7e Arrondissement;80,646931
75101;Paris 1er Arrondissement;75108;Paris 8e Arrondissement;61,66878
75101;Paris 1er Arrondissement;75109;Paris 9e Arrondissement;76,453321
75101;Paris 1er Arrondissement;75110;Paris 10e Arrondissement;75,005108
75101;Paris 1er Arrondissement;75111;Paris 11e Arrondissement;171,053379
75101;Paris 1er Arrondissement;75112;Paris 12e Arrondissement;91,852835
75101;Paris 1er Arrondissement;75113;Paris 13e Arrondissement;61,496151
75101;Paris 1er Arrondissement;75114;Paris 14e Arrondissement;53,323459
75101;Paris 1er Arrondissement;75115;Paris 15e Arrondissement;79,735781
75101;Paris 1er Arrondissement;75116;Paris 16e Arrondissement;92,229202
75101;Paris 1er Arrondissement;75117;Paris 17e Arrondissement;107,597618
75101;Paris 1er Arrondissement;75118;Paris 18e Arrondissement;51,297159
75101;Paris 1er Arrondissement;75119;Paris 19e Arrondissement;56,947785
75101;Paris 1er Arrondissement;75120;Paris 20e Arrondissement;48,570345
75101;Paris 1er Arrondissement;92002;Antony;6,136783
75101;Paris 1er Arrondissement;92004;AsnièressurSeine;6,694573
75101;Paris 1er Arrondissement;92012;BoulogneBillancourt;40,024653
75101;Paris 1er Arrondissement;92019;ChâtenayMalabry;17,964337
75101;Paris 1er Arrondissement;92020;Châtillon;2,633731
75101;Paris 1er Arrondissement;92023;Clamart;0,947809
75101;Paris 1er Arrondissement;92024;Clichy;9,369582
75101;Paris 1er Arrondissement;92025;Colombes;6,152313
75101;Paris 1er Arrondissement;92026;Courbevoie;21,905013
75101;Paris 1er Arrondissement;92033;Garches;27,925033
75101;Paris 1er Arrondissement;92035;La GarenneColombes;3,601214
75101;Paris 1er Arrondissement;92040;IssylesMoulineaux;5,455786
75101;Paris 1er Arrondissement;92044;LevalloisPerret;14,606325
75101;Paris 1er Arrondissement;92046;Malakoff;3,051247
75101;Paris 1er Arrondissement;92047;MarneslaCoquette;1,104928
75101;Paris 1er Arrondissement;92048;Meudon;5,743863
75101;Paris 1er Arrondissement;92049;Montrouge;11,38655
75101;Paris 1er Arrondissement;92050;Nanterre;4,843587
75101;Paris 1er Arrondissement;92051;NeuillysurSeine;36,033828
75101;Paris 1er Arrondissement;92062;Puteaux;4,334067
75101;Paris 1er Arrondissement;92063;RueilMalmaison;19,911949
75101;Paris 1er Arrondissement;92064;SaintCloud;5,379519
75101;Paris 1er Arrondissement;92071;Sceaux;7,051181
75101;Paris 1er Arrondissement;92073;Suresnes;6,035451
75101;Paris 1er Arrondissement;92075;Vanves;18,848444
75101;Paris 1er Arrondissement;92077;Villed'Avray;6,776517
75101;Paris 1er Arrondissement;93005;AulnaysousBois;3,999935
75101;Paris 1er Arrondissement;93013;Le Bourget;9,327443
75101;Paris 1er Arrondissement;93027;La Courneuve;5,743863
75101;Paris 1er Arrondissement;93029;Drancy;12,11913
75101;Paris 1er Arrondissement;93045;Les Lilas;3,051247
75101;Paris 1er Arrondissement;93048;Montreuil;12,040769
75101;Paris 1er Arrondissement;93051;NoisyleGrand;11,600484
75101;Paris 1er Arrondissement;93055;Pantin;3,089127
75101;Paris 1er Arrondissement;93057;Les PavillonssousBois;3,677511
75101;Paris 1er Arrondissement;93061;Le PréSaintGervais;4,34172
75101;Paris 1er Arrondissement;93062;Le Raincy;6,446922
75101;Paris 1er Arrondissement;93066;SaintDenis;7,574763
75101;Paris 1er Arrondissement;93070;SaintOuen;2,718073
75101;Paris 1er Arrondissement;93071;Sevran;14,555209
75101;Paris 1er Arrondissement;94002;Alfortville;2,912608
75101;Paris 1er Arrondissement;94003;Arcueil;6,971061
75101;Paris 1er Arrondissement;94017;ChampignysurMarne;30,989991
75101;Paris 1er Arrondissement;94018;CharentonlePont;5,040906
75101;Paris 1er Arrondissement;94019;ChennevièressurMarne;3,233207
75101;Paris 1er Arrondissement;94021;ChevillyLarue;6,965028
75101;Paris 1er Arrondissement;94022;ChoisyleRoi;2,978197
75101;Paris 1er Arrondissement;94028;Créteil;12,159227
75101;Paris 1er Arrondissement;94033;FontenaysousBois;5,878497
75101;Paris 1er Arrondissement;94034;Fresnes;0,947809
75101;Paris 1er Arrondissement;94038;L'HaÿlesRoses;14,359658
75101;Paris 1er Arrondissement;94041;IvrysurSeine;12,29163
75101;Paris 1er Arrondissement;94046;MaisonsAlfort;5,685589
75101;Paris 1er Arrondissement;94052;NogentsurMarne;3,568006
75101;Paris 1er Arrondissement;94053;Noiseau;0,992016
75101;Paris 1er Arrondissement;94055;OrmessonsurMarne;8,044599
75101;Paris 1er Arrondissement;94060;La QueueenBrie;3,11318
75101;Paris 1er Arrondissement;94065;Rungis;3,823231
75101;Paris 1er Arrondissement;94068;SaintMaurdesFossés;20,630597
75101;Paris 1er Arrondissement;94073;Thiais;11,032534
75101;Paris 1er Arrondissement;94076;Villejuif;7,762556
75101;Paris 1er Arrondissement;94080;Vincennes;9,53024
75101;Paris 1er Arrondissement;94081;VitrysurSeine;8,336775
75102;Paris 2e Arrondissement;75101;Paris 1er Arrondissement;184,822814
75102;Paris 2e Arrondissement;75102;Paris 2e Arrondissement;13514,48959
75102;Paris 2e Arrondissement;75103;Paris 3e Arrondissement;144,052109
75102;Paris 2e Arrondissement;75104;Paris 4e Arrondissement;121,257696
75102;Paris 2e Arrondissement;75105;Paris 5e Arrondissement;74,289133
75102;Paris 2e Arrondissement;75106;Paris 6e Arrondissement;103,457879
75102;Paris 2e Arrondissement;75107;Paris 7e Arrondissement;48,511924
75102;Paris 2e Arrondissement;75108;Paris 8e Arrondissement;70,03763
75102;Paris 2e Arrondissement;75109;Paris 9e Arrondissement;81,343971
75102;Paris 2e Arrondissement;75110;Paris 10e Arrondissement;135,204199
75102;Paris 2e Arrondissement;75111;Paris 11e Arrondissement;209,236951
75102;Paris 2e Arrondissement;75112;Paris 12e Arrondissement;109,79662
75102;Paris 2e Arrondissement;75113;Paris 13e Arrondissement;123,215852
