CODGEO;LIBELLE;POP1936;POP1954;POP1962;POP1968;POP1975;POP1982;POP1990;POP1999;POP2008;SURF
75101;Paris 1er Arrondissement;37062;37330;36543;32332;22793;18509;18360;16888;17440;183
75102;Paris 2e Arrondissement;41445;41744;40864;35357;26328;21203;20738;19585;21793;99
75103;Paris 3e Arrondissement;63571;64030;62680;56252;41706;36094;35102;34248;34824;117
75104;Paris 4e Arrondissement;62547;62998;61670;54029;40466;33990;32226;30675;27977;160
75105;Paris 5e Arrondissement;97396;98099;96031;83721;67668;62173;61222;58849;62143;254
75106;Paris 6e Arrondissement;81403;81991;80262;70891;56331;48905;47891;44919;44322;215
75107;Paris 7e Arrondissement;101000;101729;99584;87811;74250;67461;62939;56985;57082;409
75108;Paris 8e Arrondissement;75637;76183;74577;67897;52999;46403;40814;39314;38702;388
75109;Paris 9e Arrondissement;95432;96121;94094;84969;70270;64134;58019;55838;59157;218
75110;Paris 10e Arrondissement;126267;127179;124497;113372;94046;86970;90083;89612;94321;289
75111;Paris 11e Arrondissement;196098;197514;193349;179727;159317;146931;154165;149102;152672;367
75112;Paris 12e Arrondissement;163871;165054;161574;155982;140900;138015;130257;136591;142673;1632
75113;Paris 13e Arrondissement;169079;170300;166709;158280;163313;170818;171098;171533;179500;715
75114;Paris 14e Arrondissement;180681;181986;178149;167093;149137;138596;136574;132844;136464;564
75115;Paris 15e Arrondissement;254113;255948;250551;244080;231301;225596;223940;225362;234091;848
75116;Paris 16e Arrondissement;230651;232317;227418;214120;193590;179446;169863;161773;165074;1637
75117;Paris 17e Arrondissement;230924;232591;227687;210299;186293;169513;161935;160860;167070;567
75118;Paris 18e Arrondissement;258599;260466;254974;236776;208970;186866;187657;184586;196000;601
75119;Paris 19e Arrondissement;161836;163005;159568;148862;144357;162649;165062;172730;184909;679
75120;Paris 20e Arrondissement;202143;203603;199310;188921;175795;171971;184478;182952;195083;598
92002;ANTONY;19690;24512;46483;56638;57540;54610;57771;59855;61240;975
92004;ASNIERES-SUR-SEINE;71831;77838;81768;80113;75431;71077;71850;75837;81666;552
92007;BAGNEUX;12492;13774;38044;42006;40674;40385;36364;37252;38509;408
92009;BOIS-COLOMBES;26562;27899;29938;28934;26657;23780;24415;23885;27809;190
92012;BOULOGNE-BILLANCOURT;97379;93998;106641;109008;103578;102582;101743;106367;112233;474
92014;BOURG-LA-REINE;9838;11708;17694;18711;18221;18070;18499;18251;20015;211
92019;CHATENAY-MALABRY;3983;14269;24756;27484;30497;28580;29197;30621;31854;647
92020;CHATILLON;10895;12526;20934;24640;26574;24834;26411;28622;32510;205
92022;CHAVILLE;12474;14508;16787;17476;19086;17914;17784;17966;18126;409
92023;CLAMART;32427;37924;47991;54906;52952;48353;47227;48572;51407;905
92024;CLICHY;56475;55591;56316;52477;47764;46895;48030;50179;58388;282
92025;COLOMBES;61944;67909;76918;80357;83390;78777;78513;76757;83695;752
92026;COURBEVOIE;58638;59730;59491;58118;54488;59830;65389;69694;85054;481
92032;FONTENAY-AUX-ROSES;7197;8626;20265;23388;25630;23947;23354;23537;24131;210
92033;GARCHES;7474;10450;13244;14217;17998;18094;17957;18036;18157;283
92035;LA GARENNE-COLOMBES;24734;26753;27341;26562;24038;20990;21754;24067;26699;162
92036;GENNEVILLIERS;29369;33137;42595;46074;50290;45396;44818;42513;41822;883
